Numero_de_nodo,Valor_de_daño_normalizado,Estado
5,-1.8484410801658056,-
6,1.4198492404144369,-
7,17.978191568463274,-
8,2.0014353705059196,-
9,-3.2423751519274657,-
10,-2.5617218364083678,-
11,-3.7120037456568866,-
12,-0.55390745207284553,-
13,-2.4679876829415992,-
14,-1.6908997794909646,-
15,-4.0852858215762806,-
16,0.27330391335976484,-
17,-5.6389256541183125E-2,-
18,-4.4678731892776913,-
19,-4.7405001107064315,-
20,4.9076690180108644E-3,-
21,8.3808505012271066,-
22,0.73828706487166773,-
23,-1.9536507562925718,-
24,-0.90225731391502506,-
25,-2.9834347392903724,-
26,-4.2437579157003826,-
27,-4.1388560817119826,-
28,10.58012534387251,-
29,16.667691861162702,-
30,-2.0131934227535906,-
31,4.2699771327761873,-
32,100,Daño
33,53.996120598196129,Daño
34,-1.5204860675603682,-
35,-4.0194816571856196,-
36,34.954345567251401,-
37,18.402006992164441,-
38,-2.7476436899084322,-
39,15.249673069952074,-
40,36.053188645182402,-
41,,-
42,,-
43,,-
44,,-
45,,-
46,,-
47,,-
48,,-
49,,-
50,,-
51,,-
52,,-
