Numero_de_nodo,Valor_de_daño_normalizado,Estado
5,10.757684934887846,-
6,11.6991618968664,-
7,5.5715833330106399,-
8,14.997258652630679,-
9,5.0618323793555655,-
10,7.8178085453901254,-
11,6.0589970564542579,-
12,5.6385879645983854,-
13,5.2767041137520687,-
14,7.4416275203208873,-
15,6.2100730952264982,-
16,6.6906243877996525,-
17,6.7838905435431984,-
18,5.9267465540528512,-
19,7.5956836838919042,-
20,5.9015754066422597,-
21,6.8916924174223073,-
22,5.6029861955143501,-
23,7.6746105976623253,-
24,7.0854605989776474,-
25,9.9837554853538073,-
26,3.8364916668399083,-
27,4.6219319132375478,-
28,7.3331291312178557,-
29,18.559734858144108,-
30,4.4444511885105529,-
31,9.0625002286446996,-
32,13.501758651202245,-
33,19.146800542592896,-
34,3.4255569212813586,-
35,3.7200371125701222,-
36,8.6769529425614973,-
37,7.0228043099676629,-
38,3.3489654229542345,-
39,13.259726677126299,-
40,100,Daño
41,,-
42,,-
43,,-
44,,-
45,,-
46,,-
47,,-
48,,-
49,,-
50,,-
51,,-
52,,-
