Numero_de_nodo,Valor_de_daño_normalizado,Estado
5,15.208654273857055,-
6,15.209502293202446,-
7,28.852189139492975,-
8,28.852459530629165,-
9,7.3503635535029446,-
10,0.49714968709793023,-
11,7.3503581387156878,-
12,32.324003932593286,-
13,5.6021765795869189,-
14,5.6026417923782388,-
15,23.083936521889221,-
16,23.084213962093457,-
17,4.2147658326577764,-
18,3.717516801955651,-
19,4.2147569130200919,-
20,31.541482810673198,-
21,21.468878312416116,-
22,11.798895819929903,-
23,11.799051751616746,-
24,21.46881770999353,-
25,6.2795780394153846,-
26,6.34233101218733,-
27,6.2795817391229258,-
28,100,Daño
29,10.045620584372063,-
30,10.045875418216541,-
31,42.609009515112568,-
32,42.61040241899024,-
33,9.7340965715743444,-
34,9.2330374567353886,-
35,9.7340907589536148,-
36,68.197314152184731,Daño
37,12.821691517681172,-
38,12.821870815931794,-
39,29.866328724157583,-
40,29.866550229384647,-
41,,-
42,,-
43,,-
44,,-
45,,-
46,,-
47,,-
48,,-
49,,-
50,,-
51,,-
52,,-
