Numero_de_nodo,Valor_de_daño_normalizado,Estado
5,100,Daño
6,73.653835476990864,Daño
7,99.87287970043306,Daño
8,73.643676831207927,Daño
9,16.743116808595897,-
10,16.743153719743813,-
11,16.754503044827221,-
12,16.754459209085564,-
13,59.446749156271153,Daño
14,48.533923915202621,-
15,59.499667856046791,Daño
16,48.5324033501063,-
17,14.119924481716106,-
18,14.119990974447012,-
19,14.170182386051088,-
20,14.170108560181463,-
21,36.944340370621646,-
22,40.191940696042153,-
23,36.952124540361886,-
24,40.52349701664923,-
25,14.667615200775112,-
26,14.667697152859677,-
27,14.749349006562063,-
28,14.749247260645479,-
29,15.83155577103221,-
30,14.329090397553268,-
31,15.973279436983805,-
32,14.35756249278565,-
33,19.307654585503528,-
34,19.307721142603931,-
35,19.391451748539357,-
36,19.391381930417985,-
37,19.002191862942503,-
38,14.584680947057407,-
39,19.03922859097073,-
40,14.586173617153033,-
41,,-
42,,-
43,,-
44,,-
45,,-
46,,-
47,,-
48,,-
49,,-
50,,-
51,,-
52,,-
