Numero_de_nodo,Valor_de_daño_normalizado,Estado
5,3.6137995485012731,-
6,6.2615979262619135,-
7,6.1652157680760569,-
8,8.8729970432883434,-
9,2.424534684034922,-
10,1.9761739118335255,-
11,3.8556131159278002,-
12,3.2395175053580845,-
13,6.2370944649927891,-
14,6.7744429231775882,-
15,6.7223365356764129,-
16,6.9097443785446009,-
17,4.3808051456296386,-
18,3.2161623186824229,-
19,3.1761269785123796,-
20,4.5305447844649693,-
21,8.7679400364618552,-
22,8.7339918888741295,-
23,6.5439496552153749,-
24,4.5038055132706196,-
25,5.1892194530332816,-
26,4.9333907178432481,-
27,4.5436909849493743,-
28,6.1216231862492103,-
29,9.7820508337944414,-
30,5.7233031119959543,-
31,9.8374742551480789,-
32,100,Daño
33,5.3981896870667585,-
34,5.3594987763250215,-
35,5.0452738669814989,-
36,4.715982333359114,-
37,5.0910216782327984,-
38,5.1618029035262154,-
39,4.3404563123913098,-
40,5.6160066424143329,-
41,,-
42,,-
43,,-
44,,-
45,,-
46,,-
47,,-
48,,-
49,,-
50,,-
51,,-
52,,-
