Numero_de_nodo,Valor_de_daño_normalizado,Estado
5,21.614139,-
6,20.710615,-
7,20.698249,-
8,21.617901,-
9,22.315237,-
10,13.147526,-
11,5.123804,-
12,13.147463,-
13,28.714674,-
14,4.969794,-
15,4.965267,-
16,28.716878,-
17,25.640007,-
18,12.865787,-
19,2.002502,-
20,12.865628,-
21,100,Daño
22,99.998013,Daño
23,13.510456,-
24,13.508704,-
25,31.870376,-
26,10.372513,-
27,2.27364,-
28,10.372367,-
29,19.887824,-
30,2.462869,-
31,2.460599,-
32,19.899255,-
33,11.16014,-
34,5.138894,-
35,3.064317,-
36,5.138823,-
37,6.618083,-
38,4.202777,-
39,4.200876,-
40,6.61986,-
41,,-
42,,-
43,,-
44,,-
45,,-
46,,-
47,,-
48,,-
49,,-
50,,-
51,,-
52,,-
