112,35,43
97,36,44
102,33,41
107,34,42
113,35,39
114,39,44
115,36,39
116,39,43
98,36,40
99,40,41
100,33,40
101,40,44
103,33,37
104,37,42
105,34,37
106,37,41
108,34,38
109,38,43
110,35,38
111,38,42
87,28,36
92,25,33
77,26,34
82,27,35
88,28,32
89,32,33
90,25,32
91,32,36
73,25,29
74,29,34
75,26,29
76,29,33
78,26,30
79,30,35
80,27,30
81,30,34
83,27,31
84,31,36
85,28,31
86,31,35
64,20,28
49,17,25
54,18,26
59,19,27
65,20,21
66,21,25
67,17,21
68,21,28
50,17,22
51,22,26
52,18,22
53,22,25
55,18,23
56,23,27
57,19,23
58,23,26
60,19,24
61,24,28
62,20,24
63,24,27
25,9,17
30,10,18
35,11,19
40,12,20
26,9,13
27,13,18
28,10,13
29,13,17
31,10,14
32,14,19
33,11,14
34,14,18
36,11,15
37,15,20
38,12,15
39,15,19
41,12,16
42,16,17
43,9,16
44,16,20
1,1,9
2,1,5
3,5,10
4,2,5
5,5,9
6,2,10
11,3,11
16,4,12
12,3,7
13,7,12
14,4,7
15,7,11
7,2,6
8,6,11
9,3,6
10,6,10
19,1,8
20,8,12
17,4,8
18,8,9
