Numero_de_nodo,Valor_de_daño_normalizado,Estado
5,17.680271990620085,-
6,7.062668891377662,-
7,1.4320378803599731,-
8,8.952079722042305,-
9,4.40246729477558,-
10,11.343542216538252,-
11,4.960907726569448,-
12,7.006592694789751,-
13,2.861714599874198,-
14,8.924202544047352,-
15,3.4228938280237937,-
16,5.656968551910251,-
17,1.9901753796340405,-
18,9.390339063456501,-
19,8.70802291919361,-
20,3.091596957692149,-
21,3.101304290567535,-
22,20.670280353751195,-
23,17.111120856362675,-
24,7.786389998476192,-
25,0.9536243821977036,-
26,14.462096137274347,-
27,2.7122631238730865,-
28,2.579933575004008,-
29,11.046209060010245,-
30,100.0,Daño
31,13.31761927946994,-
32,2.427453273599656,-
33,1.0075621944912354,-
34,19.554959402357866,-
35,27.843960718638115,-
36,2.472224668705817,-
37,5.873711717090733,-
38,14.606225288835157,-
39,8.225053230398064,-
40,1.1160642562827556,-
41,,-
42,,-
43,,-
44,,-
45,,-
46,,-
47,,-
48,,-
49,,-
50,,-
51,,-
52,,-
