Numero_de_nodo,Valor_de_daño_normalizado,Estado
5,7.061315172386998,-
6,1.8315344624206724,-
7,8.942256517608921,-
8,17.293172687735392,-
9,11.309963970100336,-
10,4.9493349713233705,-
11,7.0027901964512,-
12,4.350012771305121,-
13,8.988465584040588,-
14,3.488562515755068,-
15,5.72991626482076,-
16,2.9630500241632327,-
17,9.346646520886065,-
18,8.695065159114394,-
19,3.077661890977983,-
20,1.9848708962289199,-
21,21.95548571249395,-
22,17.90552977302229,-
23,7.743698839007291,-
24,3.113871240679686,-
25,14.417939903251298,-
26,2.6864650812430457,-
27,2.565539300402166,-
28,0.9811892654469653,-
29,100.0,Daño
30,13.371262619050983,-
31,2.4362125443424145,-
32,11.319792177420677,-
33,19.553571833256367,-
34,27.791947849444497,-
35,2.4535240662388964,-
36,0.9719156172071823,-
37,14.61571937619619,-
38,8.229068324921233,-
39,1.0848711417254324,-
40,5.862818257952485,-
41,,-
42,,-
43,,-
44,,-
45,,-
46,,-
47,,-
48,,-
49,,-
50,,-
51,,-
52,,-
