Numero_de_nodo,Valor_de_daño_normalizado,Estado
5,17.383267920844876,-
6,5.488487322522176,-
7,19.63213996646466,-
8,17.156249994176232,-
9,1.5506708312678161,-
10,1.5373067017962043,-
11,3.591184072792382,-
12,0.7756899451658048,-
13,3.229448891587626,-
14,100.0,Daño
15,1.5043019700420477,-
16,2.347349064260161,-
17,0.6792456506190968,-
18,5.202131016497543,-
19,7.96376194293528,-
20,0.4379989334398475,-
21,15.87765116307637,-
22,1.6258992768682277,-
23,5.953100410301379,-
24,6.656333818112789,-
25,0.18525248472191141,-
26,2.1862288212626675,-
27,2.0556309012850624,-
28,0.2521107147208108,-
29,1.768013003478399,-
30,2.617500148599259,-
31,1.4423946487151613,-
32,0.8443338530364559,-
33,0.28103575412791504,-
34,0.8077659591778762,-
35,1.0134340615267257,-
36,0.5044407767149743,-
37,0.4111398425934261,-
38,0.9950645830740665,-
39,0.42588110508977567,-
40,0.451897384670429,-
41,,-
42,,-
43,,-
44,,-
45,,-
46,,-
47,,-
48,,-
49,,-
50,,-
51,,-
52,,-
