Numero_de_nodo,Valor_de_daño_normalizado,Estado
5,36.20508299153034,-
6,36.215707363368956,-
7,7.810626408427393,-
8,7.815671997414365,-
9,20.90827015708292,-
10,8.413649342578118,-
11,20.90814178188999,-
12,8.024952518421228,-
13,29.23247028556966,-
14,29.235442697774122,-
15,14.521331255688864,-
16,14.523860715483147,-
17,12.619819737185637,-
18,26.13747081133586,-
19,12.619702174004757,-
20,13.431223648368313,-
21,19.291434106587207,-
22,43.538218120730335,-
23,43.541445486117944,-
24,19.289603341477914,-
25,11.164388023558462,-
26,58.0582985397046,Daño
27,11.16435144668878,-
28,16.891995729318936,-
29,61.42938342397206,Daño
30,61.432709525859444,Daño
31,8.752279295804025,-
32,8.777013969185683,-
33,8.42717232383292,-
34,64.48817142029954,Daño
35,8.42714993761335,-
36,17.813165124613178,-
37,99.99752033460723,Daño
38,100.0,Daño
39,10.431364970505399,-
40,10.437300767698945,-
41,,-
42,,-
43,,-
44,,-
45,,-
46,,-
47,,-
48,,-
49,,-
50,,-
51,,-
52,,-
