Numero_de_nodo,Valor_de_daño_normalizado,Estado
5,16.06888733068931,-
6,7.042835371947477,-
7,3.477520285173673,-
8,8.933407730066776,-
9,4.138904127052201,-
10,11.130621297834125,-
11,4.867326110215514,-
12,6.94839457231895,-
13,3.5524225574163135,-
14,9.306400292999795,-
15,3.8394816232598714,-
16,6.118957934034968,-
17,1.9857256709013875,-
18,9.141909485654711,-
19,8.593197076033281,-
20,3.024878798597986,-
21,3.261395433700953,-
22,28.177017426495134,-
23,21.88550219474742,-
24,7.640981429820891,-
25,1.1203044151134358,-
26,14.196534578709496,-
27,2.584661633341831,-
28,2.5177725307236645,-
29,12.59305388065306,-
30,100.0,Daño
31,13.59183634604241,-
32,2.558285635652886,-
33,0.8280844250260146,-
34,19.538475474745418,-
35,27.58247975956445,-
36,2.386727223452733,-
37,5.808964500804365,-
38,14.640879132568537,-
39,8.232356790415576,-
40,0.9637235269516483,-
41,,-
42,,-
43,,-
44,,-
45,,-
46,,-
47,,-
48,,-
49,,-
50,,-
51,,-
52,,-
