Numero_de_nodo,Valor_de_daño_normalizado,Estado
5,100.0,Daño
6,48.150995867567225,-
7,99.99914581552775,Daño
8,49.234615488029334,-
9,19.762833386813078,-
10,20.234721714131073,-
11,19.750136220706015,-
12,20.257087373875443,-
13,74.33734702892104,Daño
14,60.92688201700325,Daño
15,74.33402701115284,Daño
16,60.07635305405204,Daño
17,34.95355039908272,-
18,36.245541405972,-
19,34.8979170989772,-
20,36.325006186707434,-
21,79.76232482610989,Daño
22,82.99871033694436,Daño
23,62.56916755454017,Daño
24,82.97594069943653,Daño
25,53.44802214550259,Daño
26,55.36229377975806,Daño
27,54.035978910106444,Daño
28,54.803081562719825,Daño
29,61.33923863458621,Daño
30,53.83652024537005,Daño
31,61.343947234505215,Daño
32,65.73564283395794,Daño
33,64.04563455332334,Daño
34,66.65684025006448,Daño
35,65.53180124441595,Daño
36,65.20375198318467,Daño
37,63.58647172806475,Daño
38,61.022755745709745,Daño
39,63.598584924329195,Daño
40,61.26475362238523,Daño
41,,-
42,,-
43,,-
44,,-
45,,-
46,,-
47,,-
48,,-
49,,-
50,,-
51,,-
52,,-
