Numero_de_nodo,Valor_de_daño_normalizado,Estado
5,19.187940823327008,-
6,19.184538378532125,-
7,11.051371706806657,-
8,11.047803494163404,-
9,7.674726072397167,-
10,35.84394940003229,-
11,7.674742783189132,-
12,0.9423525829683274,-
13,21.41719972981219,-
14,21.4164009499022,-
15,6.297540263599813,-
16,6.296603255230296,-
17,2.4097774500732205,-
18,32.63475628062235,-
19,2.409747398816256,-
20,3.8154278207247443,-
21,13.78589078580966,-
22,26.307772306741278,-
23,26.307488862529794,-
24,13.786224884684545,-
25,5.753247912891592,-
26,100.0,Daño
27,5.75324229739241,-
28,6.879180587100297,-
29,45.30272388467528,-
30,45.302695054596825,-
31,9.975792379888121,-
32,9.975701034237435,-
33,9.940157510982324,-
34,71.52227677231657,Daño
35,9.940128641927434,-
36,9.504619449712491,-
37,32.44773902072478,-
38,32.44754713363437,-
39,12.53201746782139,-
40,12.531826044368682,-
41,,-
42,,-
43,,-
44,,-
45,,-
46,,-
47,,-
48,,-
49,,-
50,,-
51,,-
52,,-
