Numero_de_nodo,Valor_de_daño_normalizado,Estado
5,100.0,Daño
6,23.17333461051852,-
7,30.24786555869684,-
8,26.20875903403057,-
9,48.320275921359354,-
10,68.37185420156904,Daño
11,4.691250134049075,-
12,4.138994516088387,-
13,43.06451969317493,-
14,10.159500318103657,-
15,2.0900561462078957,-
16,5.3765950843340855,-
17,17.118421858125018,-
18,14.292001297080489,-
19,1.343327134025084,-
20,0.8823152432255865,-
21,1.0203977394014903,-
22,7.527051258515181,-
23,1.904076229105681,-
24,19.076511844650675,-
25,3.523455773873141,-
26,3.5927470337838794,-
27,0.6586206083359225,-
28,0.3225588022112571,-
29,1.560125281439557,-
30,0.5964108078864262,-
31,1.089169630975173,-
32,0.6786682270853551,-
33,0.6519935713702641,-
34,0.8206568085412909,-
35,0.5765049373973291,-
36,0.18852906173204706,-
37,1.376533413733911,-
38,0.38070777551819895,-
39,0.9289194447270057,-
40,0.2867159696718322,-
41,,-
42,,-
43,,-
44,,-
45,,-
46,,-
47,,-
48,,-
49,,-
50,,-
51,,-
52,,-
