Numero_de_nodo,Valor_de_daño_normalizado,Estado
5,13.459383318711907,-
6,18.063760906856437,-
7,5.3119566494517541,-
8,17.437386795764745,-
9,-4.4999899749393526,-
10,-4.4668876262006059,-
11,-4.4632482846099419,-
12,-4.5052937912252062,-
13,-3.9340578582164527,-
14,-3.7249816610500539,-
15,7.5422740059493298,-
16,-3.0620666490049455,-
17,-4.2057626889326887,-
18,-3.9319010100762108,-
19,-4.1097595404406313,-
20,-4.2149235597367722,-
21,-2.7900737676026086,-
22,100,Daño
23,-2.3618988673522407,-
24,16.559692798576894,-
25,-1.1099940062312237,-
26,-2.0716480745121721,-
27,-3.9030061367894158,-
28,-3.9357876525243327,-
29,-1.5640945408695637,-
30,-2.8368130216886525,-
31,-3.5605217900122237,-
32,-2.9207228963086944,-
33,-1.6892607351842492,-
34,-1.6441924160022401,-
35,-3.5128850321918828,-
36,-3.001926431971087,-
37,-0.36247381612992546,-
38,-2.8624248162502508,-
39,-0.25522908771837438,-
40,-2.2155655879765797,-
41,,-
42,,-
43,,-
44,,-
45,,-
46,,-
47,,-
48,,-
49,,-
50,,-
51,,-
52,,-
