Numero_de_nodo,Valor_de_daño_normalizado,Estado
5,5.2479375005443822,-
6,30.625915260219006,-
7,20.276762075282086,-
8,4.7652127118634295,-
9,2.6746949756305525,-
10,6.0230677664479302,-
11,17.831949704468332,-
12,12.272713791463783,-
13,1.4755655273081763,-
14,13.641698405680167,-
15,15.626350248867729,-
16,8.769128161526945,-
17,9.5878653848589429E-2,-
18,2.1577639885884574,-
19,11.001824183850417,-
20,8.455277398435797,-
21,11.57672248211245,-
22,-0.32159457335971303,-
23,14.615890257308809,-
24,8.1841183675340456,-
25,-1.0133632004855515,-
26,-1.4518970013818582,-
27,2.8104065453101685,-
28,8.4310662015947155,-
29,1.6967991833715688,-
30,17.974936081969627,-
31,3.0474762372823929,-
32,30.708634947208029,-
33,4.7920773597945372,-
34,4.651709606411834,-
35,7.1104137765447399,-
36,28.369489177464597,-
37,33.425697853515175,-
38,20.037429127503444,-
39,14.442683270609061,-
40,100,Daño
41,,-
42,,-
43,,-
44,,-
45,,-
46,,-
47,,-
48,,-
49,,-
50,,-
51,,-
52,,-
