Numero_de_nodo,Valor_de_daño_normalizado,Estado
5,32.135731,-
6,29.057822,-
7,95.371794,Daño
8,92.289756,Daño
9,49.472469,-
10,48.920132,-
11,49.469805,-
12,52.477721,Daño
13,41.811606,-
14,40.764602,-
15,41.548711,-
16,40.502807,-
17,29.865061,-
18,22.031534,-
19,29.859189,-
20,46.293035,-
21,34.761107,-
22,46.849615,-
23,47.293617,-
24,34.315319,-
25,24.048601,-
26,58.573894,Daño
27,24.037513,-
28,20.004361,-
29,46.178059,-
30,46.826136,-
31,99.344209,Daño
32,100,Daño
33,14.75746,-
34,49.114953,-
35,14.745844,-
36,31.38036,-
37,13.520141,-
38,13.797515,-
39,17.032287,-
40,17.318093,-
41,,-
42,,-
43,,-
44,,-
45,,-
46,,-
47,,-
48,,-
49,,-
50,,-
51,,-
52,,-
