Numero_de_nodo,Valor_de_daño_normalizado,Estado
5,6.370655,-
6,2.156524,-
7,8.497974,-
8,4.575959,-
9,1.583077,-
10,1.026261,-
11,2.035267,-
12,1.681977,-
13,5.125649,-
14,4.788698,-
15,5.097292,-
16,3.775909,-
17,2.639688,-
18,2.088692,-
19,1.265438,-
20,2.435028,-
21,6.123478,-
22,7.074062,-
23,5.592921,-
24,2.723052,-
25,3.273316,-
26,3.040694,-
27,2.645047,-
28,3.073043,-
29,10.994658,-
30,4.036048,-
31,7.335131,-
32,100,Daño
33,3.723822,-
34,2.853516,-
35,2.503145,-
36,2.660497,-
37,4.088796,-
38,2.661259,-
39,2.252304,-
40,4.562906,-
41,,-
42,,-
43,,-
44,,-
45,,-
46,,-
47,,-
48,,-
49,,-
50,,-
51,,-
52,,-
