ID,Elemento,Porcentaje,Tiempo_s,ObjFinal,DeteccionOK,PromDispersion,StdDispersion,MeanAbsDispersion,N_FalsosPositivos
1,1,5,99.4833863,0.925559513367176,FALSE,6.41129274587152,7.28873741828688,6.41129274587152,4
2,1,10,160.3577774,0.909825207786665,FALSE,6.36834175337586,7.6689483080281,6.36834175337586,4
3,1,15,225.8179453,0.887863250663321,FALSE,6.62727102363817,8.28555535681559,6.62727102363817,4
4,1,20,286.4862036,0.846760884935584,FALSE,7.59900717514242,9.58607897780257,7.59900717514242,4
5,1,25,338.2627014,0.796902546157729,FALSE,10.970465849446,13.5573499539459,10.970465849446,2
6,1,30,403.271007,0.748182122190351,FALSE,11.3237227511917,12.7440083721645,11.3237227511917,2
7,1,35,436.7379045,0.773609152849139,FALSE,14.6513078815929,16.0596669889568,14.6513078815929,2
8,1,40,485.7063984,0.927187811208819,FALSE,10.8205083987213,11.0177351556327,10.8205083987213,4
9,1,45,529.2960844,0.983792975321475,FALSE,18.4634066510701,14.407294843625,18.4634066510701,3
10,2,5,582.5824361,0.126643131325546,TRUE,2.12827164466994,7.24509206104902,4.63980131258688,0
11,2,10,618.5999367,0.127586253080282,TRUE,2.15895100572157,7.26927030434849,4.65170569465238,0
12,2,15,682.5198298,0.129048240501254,TRUE,2.22141334200582,7.30046919866596,4.65922475095678,0
13,2,20,751.8320174,0.130500060127662,TRUE,2.27600303174583,7.33689935389438,4.67474347875995,0
14,2,25,815.8362556,0.132711251169486,TRUE,2.38856621570885,7.38507459765716,4.68532353941368,0
15,2,30,867.3153559,0.135256020315962,TRUE,2.46260783107354,7.44812367622612,4.71298492355676,0
16,2,35,922.6006721,0.135825454023328,TRUE,2.48675649600375,7.46058921199377,4.71614510588422,0
17,2,40,972.7080018,0.136057564374341,TRUE,2.49907848904984,7.4671967370579,4.71895188130527,0
18,2,45,1034.3896975,0.136374654135894,TRUE,2.51654604219166,7.47342434047514,4.71896791557498,0
19,3,5,1077.7282772,0.681700402166292,TRUE,8.22320368409438,12.0415261527579,8.22320368409438,2
20,3,10,1108.2941428,0.68376440560656,TRUE,8.28861213632237,12.1369098887934,8.28861213632237,2
21,3,15,1157.6222971,0.686224473665177,TRUE,8.36018224631344,12.2406227428156,8.36018224631344,2
22,3,20,1203.3135492,0.689079721751594,TRUE,8.44515193392993,12.3722687320909,8.44515193392993,2
23,3,25,1244.625031,0.693155712316703,TRUE,8.56217244287595,12.5500857527059,8.56217244287595,2
24,3,30,1294.3067656,0.69782943529939,TRUE,8.6980593245902,12.7509832445235,8.6980593245902,2
25,3,35,1345.0788432,0.69825606908188,TRUE,8.72057618480871,12.7831498451341,8.72057618480871,2
26,3,40,1394.7770809,0.698202454567865,TRUE,8.72632768758603,12.7927000639057,8.72632768758603,2
27,3,45,1431.1545601,0.697763554954908,TRUE,8.72439283386178,12.7955154683759,8.72439283386178,2
28,4,5,1484.8941817,0.126608514757526,TRUE,2.12012095131026,7.24555472455595,4.64222763103193,1
29,4,10,1548.3284229,0.127747592583296,TRUE,2.18321248363456,7.26811787181188,4.6446010724542,1
30,4,15,1612.0819803,0.12895831100464,TRUE,2.25491015521605,7.29391257182934,4.64914261080645,1
31,4,20,1659.8489926,0.130461251176873,TRUE,2.26483126872706,7.33805433908438,4.67839109884006,1
32,4,25,1714.2082001,0.132669005697238,TRUE,2.35570274260709,7.38951745197697,4.69584467789647,1
33,4,30,1763.7356149,0.135174270816842,TRUE,2.44901430685816,7.44865063762734,4.71710586837456,1
34,4,35,1826.4758797,0.13573726474718,TRUE,2.48173687999706,7.46012604170712,4.71791317451501,1
35,4,40,1864.0223948,0.136057777319626,TRUE,2.48936929656886,7.4681566112426,4.72161078202225,1
36,4,45,1910.5264087,0.136377238696219,TRUE,2.51296313864465,7.47422561121596,4.72019823812954,1
37,5,5,1958.7468077,0.681716314815975,TRUE,8.22763431229248,12.0433722058933,8.22763431229248,1
38,5,10,2007.5830467,0.683842677021702,TRUE,8.28867093471517,12.1359778856812,8.28867093471517,1
39,5,15,2046.1501589,0.686158418520183,TRUE,8.35692293232511,12.2403518069943,8.35692293232511,1
40,5,20,2095.9462892,0.689132246314572,TRUE,8.44668384628046,12.372584786616,8.44668384628046,1
41,5,25,2142.2281367,0.693179750840656,TRUE,8.56571626360542,12.5519008750629,8.56571626360542,1
42,5,30,2194.369535,0.697806544039221,TRUE,8.6976069614517,12.7524625524475,8.6976069614517,1
43,5,35,2226.3186006,0.698133152071965,TRUE,8.71698601334846,12.7835038807468,8.71698601334846,1
