Element,P_kN,,,,
98,-880.5475,,,,
98,-825.8828,,,,
99,-728.4796,,,,
99,-686.4298,,,,
99,-644.3801,,,,
100,-935.2122,,,,
100,-880.5475,,,,
100,-825.8828,,,,
101,-728.4796,,,,
101,-686.4298,,,,
101,-644.3801,,,,
102,-2040.0182,,,,
102,-1943.3037,,,,
102,-1846.5893,,,,
103,-935.2115,,,,
103,-880.5468,,,,
103,-825.8821,,,,
104,-728.4789,,,,
104,-686.4291,,,,
104,-644.3793,,,,
105,-935.2115,,,,
105,-880.5468,,,,
105,-825.8821,,,,
106,-728.4789,,,,
106,-686.4291,,,,
106,-644.3793,,,,
107,-2040.0182,,,,
107,-1943.3038,,,,
107,-1846.5893,,,,
108,-935.2121,,,,
108,-880.5474,,,,
108,-825.8827,,,,
109,-728.4796,,,,
109,-686.4298,,,,
109,-644.38,,,,
110,-935.2121,,,,
110,-880.5474,,,,
110,-825.8827,,,,
111,-728.4796,,,,
111,-686.4298,,,,
111,-644.38,,,,
112,-2040.0182,,,,
112,-1943.3038,,,,
112,-1846.5893,,,,
113,-935.2115,,,,
113,-880.5468,,,,
113,-825.8821,,,,
114,-728.4789,,,,
114,-686.4291,,,,
114,-644.3793,,,,
115,-935.2115,,,,
115,-880.5468,,,,
115,-825.8821,,,,
116,-728.4789,,,,
116,-686.4291,,,,
116,-644.3793,,,,
117,152.47,,,,
118,152.4704,,,,
119,152.47,,,,
120,152.4704,,,,
121,-1160.269,,,,
121,-1124.4846,,,,
121,-1088.7003,,,,
122,-1160.269,,,,
122,-1124.4846,,,,
122,-1088.7003,,,,
123,-1160.269,,,,
123,-1124.4846,,,,
123,-1088.7003,,,,
124,-1160.269,,,,
124,-1124.4846,,,,
124,-1088.7003,,,,
125,20.7719,,,,
126,20.7719,,,,
127,20.7719,,,,
128,20.7719,,,,
129,-232.7595,,,,
129,-196.9751,,,,
129,-161.1908,,,,
130,-232.7595,,,,
130,-196.9751,,,,
130,-161.1908,,,,
131,-232.7595,,,,
131,-196.9751,,,,
131,-161.1908,,,,
132,-232.7595,,,,
132,-196.9751,,,,
132,-161.1908,,,,
133,-33.5445,,,,
134,-33.5445,,,,
135,-33.5445,,,,
136,-33.5445,,,,
