Numero_de_nodo,Valor_de_daño_normalizado,Estado
5,0.873195,-
6,2.902602,-
7,1.767231,-
8,11.618005,-
9,-0.657618,-
10,-0.65539,-
11,-0.664627,-
12,-0.649448,-
13,1.782752,-
14,4.373904,-
15,2.009693,-
16,1.777167,-
17,-0.131088,-
18,-0.117324,-
19,-0.136635,-
20,-0.11132,-
21,13.981157,-
22,1.795852,-
23,100,Daño
24,3.761994,-
25,0.51301,-
26,0.540105,-
27,0.484031,-
28,0.517709,-
29,2.101701,-
30,1.174794,-
31,1.892453,-
32,1.907042,-
33,0.818755,-
34,0.887638,-
35,0.898922,-
36,0.882062,-
37,1.183242,-
38,1.26202,-
39,1.071658,-
40,1.650915,-
41,,-
42,,-
43,,-
44,,-
45,,-
46,,-
47,,-
48,,-
49,,-
50,,-
51,,-
52,,-
