Numero_de_nodo,Valor_de_daño_normalizado,Estado
5,6.577049,-
6,3.866185,-
7,9.042135,-
8,7.244892,-
9,0.967903,-
10,0.592303,-
11,2.154158,-
12,1.47618,-
13,4.455862,-
14,3.391746,-
15,4.90737,-
16,3.257108,-
17,2.002502,-
18,1.497027,-
19,1.511995,-
20,2.250542,-
21,6.849533,-
22,6.728437,-
23,4.466775,-
24,3.034668,-
25,2.901014,-
26,2.757338,-
27,2.375131,-
28,2.86448,-
29,8.331747,-
30,3.868953,-
31,8.385689,-
32,100,Daño
33,3.387559,-
34,3.222954,-
35,2.814186,-
36,3.028978,-
37,3.743146,-
38,3.495939,-
39,2.743067,-
40,3.099212,-
41,,-
42,,-
43,,-
44,,-
45,,-
46,,-
47,,-
48,,-
49,,-
50,,-
51,,-
52,,-
