Numero_de_nodo,Valor_de_daño_normalizado,Estado
5,45.63644818201092,-
6,1.6900469392941289,-
7,100.0,Daño
8,-1.1249618525496192,-
9,-3.0084340784487558,-
10,-2.9454362408176236,-
11,-2.580442889909404,-
12,-2.6884409911175426,-
13,6.356616255343776,-
14,-2.2391838568283506,-
15,8.67048864781661,-
16,-1.9114814589646523,-
17,-2.858862119909951,-
18,-2.8091858858025756,-
19,-2.949212071242208,-
20,-2.9874102953351134,-
21,-1.7941057710959778,-
22,23.473810863904614,-
23,-1.2537363707181302,-
24,7.248333212275321,-
25,-3.1424302263633677,-
26,-3.1425600557733717,-
27,-2.906416207562801,-
28,-2.938909695939114,-
29,-3.1290799710932458,-
30,-2.8310740660155336,-
31,-2.145575158182246,-
32,-2.8051225958239563,-
33,-2.774106571886379,-
34,-2.7898219504942485,-
35,-2.7001374158760987,-
36,-2.6987750224874656,-
37,-0.6454839668245594,-
38,-2.2819525446465336,-
39,-0.08661669280617731,-
40,-2.2759916840233303,-
41,,-
42,,-
43,,-
44,,-
45,,-
46,,-
47,,-
48,,-
49,,-
50,,-
51,,-
52,,-
