Numero_de_nodo,Valor_de_daño_normalizado,Estado
5,41.780066604229354,-
6,29.7456376321733,-
7,44.92674898535967,-
8,29.74565290181468,-
9,32.037460082519964,-
10,32.03745559009354,-
11,32.00359746414264,-
12,32.00359820310145,-
13,17.15091495926362,-
14,12.280626394511811,-
15,9.329163275166804,-
16,12.276802677918418,-
17,31.977170741524468,-
18,31.97717559292431,-
19,31.75476553416654,-
20,31.754755777388517,-
21,98.28218081271483,Daño
22,100.0,Daño
23,98.28926845461427,Daño
24,15.40926526809035,-
25,30.66323219323043,-
26,30.66324525060547,-
27,31.24051167782134,-
28,31.240501610763022,-
29,64.57925443886921,Daño
30,39.72051081550506,-
31,6.54896415606341,-
32,39.72350292984076,-
33,33.167646557074335,-
34,33.16765578926848,-
35,35.892152685048195,-
36,35.89214054775505,-
37,36.3883255469569,-
38,37.9198800395175,-
39,36.82327195741274,-
40,37.92345197892794,-
41,,-
42,,-
43,,-
44,,-
45,,-
46,,-
47,,-
48,,-
49,,-
50,,-
51,,-
52,,-
