Numero_de_nodo,Valor_de_daño_normalizado,Estado
5,4.076491663329258,-
6,4.311278666091768,-
7,7.3620765597892195,-
8,6.80824451994064,-
9,2.2539031250479837,-
10,0.587610446447912,-
11,0.961799324104465,-
12,1.549172618704041,-
13,4.972203792104505,-
14,4.6524239938782195,-
15,4.79702939487683,-
16,5.150517022534715,-
17,1.7257377207648372,-
18,1.7079622160853052,-
19,2.248454525894223,-
20,2.5179399004856133,-
21,4.577078717324378,-
22,6.282612478711879,-
23,8.175741192816808,-
24,8.604255824773483,-
25,2.816541719520219,-
26,3.1762948606936208,-
27,3.3541279854519503,-
28,3.2856723011688627,-
29,4.160616902720783,-
30,8.450543443684207,-
31,100.0,Daño
32,8.51749697438433,-
33,3.4215918692083824,-
34,3.7957564927497742,-
35,3.9844109020618177,-
36,3.6091949602388507,-
37,3.7649135875619946,-
38,3.798599383167912,-
39,3.3990798513829,-
40,2.867814110592564,-
41,,-
42,,-
43,,-
44,,-
45,,-
46,,-
47,,-
48,,-
49,,-
50,,-
51,,-
52,,-
