Numero_de_nodo,Valor_de_daño_normalizado,Estado
5,100.0,Daño
6,15.980433474671763,-
7,21.76800671373775,-
8,18.283103406864363,-
9,17.281523146499648,-
10,11.662448250904975,-
11,-1.2780928389499644,-
12,-1.01765376745957,-
13,16.479355472063894,-
14,-0.08807276697509289,-
15,-1.2863611410563012,-
16,1.1856305426275926,-
17,2.2969299066033377,-
18,3.1874267601708137,-
19,-2.223571665317059,-
20,-2.0885234872608303,-
21,-1.6813936551685467,-
22,2.0855397425519886,-
23,-1.0686288174290228,-
24,15.196705649876582,-
25,-0.7875852628477991,-
26,-0.8019389154236707,-
27,-2.4122942365563,-
28,-2.2716015373398886,-
29,-1.491178911264941,-
30,-2.1145092321566503,-
31,-2.0724754009940365,-
32,-2.084553476366588,-
33,-1.9818215742101166,-
34,-2.0313840381181567,-
35,-2.2946102338487258,-
36,-2.1479774191627903,-
37,-0.9535323323580728,-
38,-2.085268829697334,-
39,-1.3894851509980297,-
40,-2.0390876355775562,-
41,,-
42,,-
43,,-
44,,-
45,,-
46,,-
47,,-
48,,-
49,,-
50,,-
51,,-
52,,-
