Numero_de_nodo,Valor_de_daño_normalizado,Estado
5,4.3599925530407955,-
6,1.0445947692537652,-
7,1.337407725258237,-
8,10.789108518362035,-
9,0.5524673039191549,-
10,0.5505723479432422,-
11,0.5517757385586722,-
12,0.5533822613131006,-
13,1.6056990850273507,-
14,3.1168052347976833,-
15,1.4854710922122363,-
16,1.192879788633341,-
17,0.5903480460136792,-
18,0.5896491417305189,-
19,0.6010709211427187,-
20,0.600913786504256,-
21,15.129125907930993,-
22,4.531564843274006,-
23,100.0,Daño
24,6.698991047518852,-
25,0.6609609555021837,-
26,0.6343401529256801,-
27,0.6824089324233378,-
28,0.6651904751618261,-
29,1.2482202155333353,-
30,0.8847090146727602,-
31,0.922652950737144,-
32,1.0416271912891606,-
33,0.69107974488198,-
34,0.747022466620533,-
35,0.8013637983759956,-
36,0.7246821877274137,-
37,0.7993805547212209,-
38,0.8496321987802911,-
39,0.8819583967280805,-
40,0.9970202392828945,-
41,,-
42,,-
43,,-
44,,-
45,,-
46,,-
47,,-
48,,-
49,,-
50,,-
51,,-
52,,-
