Numero_de_nodo,Valor_de_daño_normalizado,Estado
5,4.297862636377445,-
6,2.667353776580129,-
7,3.8729407261485904,-
8,3.233602889146244,-
9,-4.867110856886947,-
10,-4.9797659568138615,-
11,-4.932353534770794,-
12,-4.865640937650173,-
13,-2.0419566648734446,-
14,-2.9339146072868854,-
15,-2.1468387368576844,-
16,-2.0608244605293637,-
17,-3.759333961201087,-
18,-4.459809676916289,-
19,-4.04355522777137,-
20,-3.6224174263678384,-
21,-1.9374617962034422,-
22,-3.129486589135902,-
23,-1.8426531019081496,-
24,-3.408322930760488,-
25,-2.6181664438923455,-
26,-3.1211422369538737,-
27,-4.674085353018878,-
28,-3.416667022964877,-
29,-0.25323403057519117,-
30,-1.6563604872671434,-
31,-2.743972092498026,-
32,-2.1010408177665933,-
33,1.9917219376720534,-
34,3.0855277292449017,-
35,3.1586696939108116,-
36,2.593807761502748,-
37,3.7138227151754855,-
38,5.440054617789071,-
39,7.600608159335437,-
40,100.0,Daño
41,,-
42,,-
43,,-
44,,-
45,,-
46,,-
47,,-
48,,-
49,,-
50,,-
51,,-
52,,-
