Numero_de_nodo,Valor_de_daño_normalizado,Estado
5,38.937156,-
6,33.203523,-
7,23.227999,-
8,33.20141,-
9,28.190517,-
10,28.190549,-
11,15.809556,-
12,15.809575,-
13,100,Daño
14,28.626284,-
15,13.374772,-
16,28.612872,-
17,19.259896,-
18,19.259975,-
19,11.253953,-
20,11.253951,-
21,9.996356,-
22,8.764077,-
23,9.997336,-
24,8.668562,-
25,8.995746,-
26,8.995906,-
27,7.557248,-
28,7.557315,-
29,6.502648,-
30,4.645025,-
31,4.435229,-
32,4.646616,-
33,6.73813,-
34,6.738178,-
35,5.882309,-
36,5.882313,-
37,5.178417,-
38,4.70786,-
39,4.105012,-
40,4.709215,-
41,,-
42,,-
43,,-
44,,-
45,,-
46,,-
47,,-
48,,-
49,,-
50,,-
51,,-
52,,-
