Numero_de_nodo,Valor_de_daño_normalizado,Estado
5,57.481338,Daño
6,45.132032,-
7,57.482448,Daño
8,76.194988,Daño
9,96.944211,Daño
10,65.909819,Daño
11,65.913786,Daño
12,96.944475,Daño
13,51.339147,Daño
14,47.131811,-
15,51.344193,Daño
16,100,Daño
17,79.380252,Daño
18,43.696218,-
19,43.695362,-
20,79.388812,Daño
21,56.522362,Daño
22,20.566461,-
23,16.475957,-
24,20.575205,-
25,26.69937,-
26,1.778166,-
27,1.773753,-
28,26.716751,-
29,4.775446,-
30,5.90385,-
31,4.783145,-
32,0.818219,-
33,19.03574,-
34,21.968226,-
35,21.967104,-
36,19.049569,-
37,20.110416,-
38,17.880039,-
39,20.115098,-
40,20.980941,-
41,,-
42,,-
43,,-
44,,-
45,,-
46,,-
47,,-
48,,-
49,,-
50,,-
51,,-
52,,-
