Numero_de_nodo,Valor_de_daño_normalizado,Estado
5,29.09276,-
6,35.168933,-
7,25.689976,-
8,100,Daño
9,45.325359,-
10,4.812744,-
11,5.498679,-
12,63.086688,Daño
13,5.604698,-
14,2.570947,-
15,10.371896,-
16,44.011908,-
17,16.377539,-
18,1.250009,-
19,1.77759,-
20,13.778105,-
21,7.622748,-
22,1.287807,-
23,22.00567,-
24,2.137805,-
25,3.596143,-
26,0.767651,-
27,1.0905,-
28,3.646735,-
29,0.988716,-
30,1.64879,-
31,0.845928,-
32,1.797424,-
33,0.918371,-
34,0.564775,-
35,0.945393,-
36,1.034589,-
37,0.586477,-
38,1.329889,-
39,0.673321,-
40,1.817151,-
41,,-
42,,-
43,,-
44,,-
45,,-
46,,-
47,,-
48,,-
49,,-
50,,-
51,,-
52,,-
