Numero_de_nodo,Valor_de_daño_normalizado,Estado
5,4.363535,-
6,13.290897,-
7,5.542678,-
8,14.065585,-
9,-0.684468,-
10,-0.611686,-
11,-0.608282,-
12,-0.669941,-
13,1.490678,-
14,2.348797,-
15,1.758049,-
16,3.351682,-
17,0.243887,-
18,0.551003,-
19,0.606411,-
20,0.289591,-
21,1.892304,-
22,2.605142,-
23,8.022542,-
24,3.999258,-
25,1.124144,-
26,1.144287,-
27,1.217144,-
28,1.424961,-
29,4.964438,-
30,2.356154,-
31,12.472071,-
32,8.44227,-
33,4.033289,-
34,3.480354,-
35,4.235348,-
36,4.723762,-
37,5.06317,-
38,4.734968,-
39,8.21,-
40,100,Daño
41,,-
42,,-
43,,-
44,,-
45,,-
46,,-
47,,-
48,,-
49,,-
50,,-
51,,-
52,,-
